1500.5,1514.199951,1494,1500.449951,1500.449951,50292
1501,1582,1501,1575,1575,115726
1571,1624.75,1556,1617.849976,1617.849976,121081
1625,1656,1621.449951,1630.5,1630.5,77530
1628.150024,1637.550049,1596.849976,1619.75,1619.75,44186
1621,1657,1616.599976,1643.75,1643.75,62689
1643.5,1697.949951,1634.75,1684.400024,1684.400024,67099
1693.449951,1710,1682,1693.5,1693.5,64045
1693.5,1732.349976,1681.449951,1709.849976,1709.849976,49661
1723,1738.099976,1705.900024,1716.300049,1716.300049,45143
1727,1727,1626.599976,1633,1633,132298
1654,1658.800049,1621.349976,1638.400024,1638.400024,72995
1654,1665.75,1629,1634.449951,1634.449951,135494
1653,1694.300049,1638,1641.550049,1641.550049,94930
1642,1680.800049,1628.300049,1636.199951,1636.199951,54345
1636,1645.25,1606.650024,1609.550049,1609.550049,42854
1586.5,1642.599976,1575,1637.949951,1637.949951,55787
1635,1650.699951,1602.300049,1618.050049,1618.050049,41365
1640,1640,1608.75,1621.050049,1621.050049,74648
1619.800049,1622.550049,1591,1596.099976,1596.099976,40030
1601.800049,1612,1588.050049,1598.900024,1598.900024,58275
1595,1630,1592.550049,1622.25,1622.25,77035
1632,1673,1624.550049,1653.449951,1653.449951,53386
1655.550049,1688,1641.150024,1683.650024,1683.650024,93279
1689,1813.099976,1686.199951,1746.400024,1746.400024,297632
1730.5,1746.300049,1683.849976,1688.849976,1688.849976,90372
